datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2005-09-02,601.4205,99832.9301,35.1,100434.3506,-5.18246296644e-06,1.004343506,-0.000189119629375
2005-09-06,634.9918,99832.9301,35.1,100467.9219,0.000334261134756,1.004679219,0.0
2005-09-07,633.4303,99832.9301,35.1,100466.3604,-1.55422742948e-05,1.004663604,-1.55422742947e-05
2005-09-08,647.7437,99832.9301,35.1,100480.6738,0.000142469578305,1.004806738,0.0
2005-09-09,667.6522,99832.9301,35.1,100500.5823,0.000198132628366,1.005005823,0.0
2005-09-12,668.8233,99832.9301,35.1,100501.7534,1.16526688025e-05,1.005017534,0.0
2005-09-13,661.2763,99832.9301,35.1,100494.2064,-7.50932172294e-05,1.004942064,-7.50932172295e-05
2005-09-14,645.5316,99832.9301,35.1,100478.4617,-0.000156672713423,1.004784617,-0.000231754165594
2005-09-15,648.9147,99832.9301,35.1,100481.8448,3.36699024124e-05,1.004818448,-0.000198092066322
2005-09-16,666.351,99832.9301,35.1,100499.2811,0.000173526869801,1.004992811,-2.45995708172e-05
2005-09-19,684.9583,99832.9301,35.1,100517.8884,0.000185148588093,1.005178884,0.0
2005-09-20,692.115,99832.9301,35.1,100525.0451,7.11982724062e-05,1.005250451,0.0
2005-09-21,678.0619,99832.9301,35.1,100510.992,-0.000139797002688,1.00510992,-0.000139797002687
2005-09-22,675.3294,99832.9301,35.1,100508.2595,-2.71860812995e-05,1.005082595,-0.000166979283454
2005-09-23,692.2451,99832.9301,35.1,100525.1752,0.000168301591174,1.005251752,0.0
2005-09-26,700.5729,99832.9301,35.1,100533.503,8.28429294795e-05,1.00533503,0.0
2005-09-27,695.3681,99832.9301,35.1,100528.2982,-5.17717959155e-05,1.005282982,-5.17717959156e-05
2005-09-28,664.6594,99832.9301,35.1,100497.5895,-0.000305473190632,1.004975895,-0.000357229171652
2005-09-29,681.0547,99832.9301,35.1,100513.9848,0.000163141226387,1.005139848,-0.00019414622407
2005-09-30,697.5801,99832.9301,35.1,100530.5102,0.000164408962921,1.005305102,-2.97691805288e-05
2005-10-03,708.3802,99832.9301,35.1,100541.3103,0.00010743106723,1.005413103,0.0
2005-10-04,699.4018,99832.9301,35.1,100532.3319,-8.93006066184e-05,1.005323319,-8.93006066184e-05
2005-10-05,686.78,99832.9301,35.1,100519.7101,-0.000125549659114,1.005197101,-0.000214839054072
2005-10-06,672.7269,99832.9301,35.1,100505.657,-0.000139804422297,1.00505657,-0.000354613440919
2005-10-07,667.5221,99832.9301,35.1,100500.4522,-5.17861397592e-05,1.005004522,-0.000406381216617
2005-10-10,655.4208,99832.9301,35.1,100488.3509,-0.000120410403487,1.004883509,-0.000526742687578
2005-10-11,671.2956,99832.9301,35.1,100504.2257,0.000157976520242,1.005042257,-0.000368849380313
2005-10-12,640.8472,99832.9301,35.1,100473.7773,-0.000302956415891,1.004737773,-0.000671694050918
2005-10-13,699.2717,99832.9301,35.1,100532.2018,0.000581490032225,1.005322018,-9.05946020881e-05
2005-10-14,702.6548,99832.9301,35.1,100535.5849,3.36519039614e-05,1.005355849,-5.69457468075e-05
2005-10-17,695.3681,99832.9301,35.1,100528.2982,-7.24788144143e-05,1.005282982,-0.000129420433862
2005-10-18,679.3631,99832.9301,35.1,100512.2932,-0.000159208902235,1.005122932,-0.000288608731212
2005-10-19,714.8862,99832.9301,35.1,100547.8163,0.000353420451062,1.005478163,0.0
2005-10-20,730.5008,99832.9301,35.1,100563.4309,0.000155295267213,1.005634309,0.0
2005-10-21,724.2549,99832.9301,35.1,100557.185,-6.21090583733e-05,1.00557185,-6.21090583734e-05
2005-10-24,738.9586,99832.9301,35.1,100571.8887,0.000146222271437,1.005718887,0.0
2005-10-25,729.9803,99832.9301,35.1,100562.9104,-8.9272460884e-05,1.005629104,-8.92724608839e-05
2005-10-26,742.0815,99832.9301,35.1,100575.0116,0.000120334623887,1.005750116,0.0
2005-10-27,721.0019,99832.9301,35.1,100553.932,-0.000209590828424,1.00553932,-0.000209590828424
2005-10-28,708.7705,99832.9301,35.1,100541.7006,-0.000121640196029,1.005417006,-0.000331205529784
2005-10-31,749.3684,99832.9301,35.1,100582.2985,0.000403791658165,1.005822985,0.0
2005-11-01,748.1973,99832.9301,35.1,100581.1274,-1.16432018106e-05,1.005811274,-1.16432018105e-05
